food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc
pout raw,278,3.2,1.1,1.2,0.1,0.0,0.0,58.6,0.0,183.0,0.2,286.4,0.032,0.3,0.022,0.021,0.2,7.4,0.5,0.8,0.0,0.0,0.0,0.0,35.2,0.1,1.0,45.8,0.003,704.0,1408.0,0.1,3.6
rainbow smelt cooked,35,0.9,0.2,0.2,0.3,0.0,0.0,6.4,0.0,25.5,0.047,20.6,0.005,0.072,0.021,0.089,0.083,0.5,0.2,0.041,0.0,0.0,0.0,0.0,21.8,0.01,0.3,10.8,0.3,83.5,105.3,0.062,0.6
monkfish raw,22,0.4,0.079,0.074,0.2,0.0,0.0,4.1,0.0,7.1,0.059,23.6,0.005,0.092,0.082,0.021,0.081,0.6,0.025,0.077,0.3,0.0,0.0,0.0,2.3,0.041,0.059,5.9,0.057,56.6,113.2,0.09,0.1
trout raw,117,5.2,0.9,2.6,1.2,0.0,0.0,16.4,0.0,45.8,0.051,56.4,0.1,0.3,0.041,0.027,0.3,3.6,1.5,0.2,0.4,0.032,0.2,0.003,34.0,0.1,1.2,17.4,0.7,193.6,285.2,0.095,0.5
shark raw,37,1.3,0.3,0.5,0.3,0.0,0.0,5.9,0.0,14.4,0.003,20.8,0.012,0.009,0.079,0.085,0.017,0.8,0.2,0.1,0.0,0.046,0.3,0.007,9.6,0.01,0.2,13.9,0.088,59.4,45.3,0.067,0.1
burbot raw,104,0.9,0.2,0.2,0.3,0.0,0.0,22.4,0.0,69.6,0.1,91.9,0.081,0.4,0.024,0.048,0.2,1.9,0.2,0.3,0.0,0.0,0.0,0.0,58.0,0.2,1.0,37.1,0.8,232.0,468.6,0.043,0.9
dolphinfish cooked,173,1.4,0.4,0.2,0.3,0.0,0.0,37.7,0.0,149.5,0.2,113.2,0.046,0.092,0.096,0.086,0.1,11.8,1.4,0.7,0.0,0.0,0.0,0.0,30.2,0.052,2.3,60.4,0.018,291.0,847.5,0.057,0.9
crayfish cooked,25,0.4,0.089,0.022,0.1,0.0,0.0,5.0,0.0,38.8,0.058,22.9,0.094,0.045,0.056,0.076,0.051,0.5,0.1,0.058,0.1,0.0,0.0,0.0,14.4,0.2,0.3,9.3,0.072,68.2,67.4,0.047,0.4
dolphinfish raw,173,1.4,0.4,0.2,0.3,0.0,0.0,37.7,0.0,148.9,0.2,158.2,0.1,0.05,0.005,0.04,0.1,12.4,1.5,0.8,0.0,0.0,0.0,0.0,30.6,0.089,2.3,61.2,0.084,291.7,848.6,0.006,0.9
perch cooked,54,0.5,0.1,0.029,0.2,0.0,0.0,11.4,0.0,52.9,0.043,33.7,0.019,0.006,0.099,0.02,0.088,0.9,0.4,0.07,0.8,0.0,0.0,0.0,46.9,0.085,0.5,17.5,0.4,118.2,158.2,0.08,0.7
cusk raw,106,0.8,0.2,0.1,0.3,0.0,0.0,23.2,0.0,50.0,0.086,93.1,0.038,0.033,0.038,0.037,0.2,3.3,0.3,0.5,0.0,0.0,0.0,0.0,12.2,0.061,1.0,37.8,0.032,248.9,478.2,0.01,0.5
bluefin tuna raw,41,1.4,0.4,0.5,0.4,0.0,0.0,6.6,0.0,10.8,0.013,19.3,0.2,0.037,0.041,0.008,0.042,2.4,0.3,0.1,0.0,0.077,0.3,0.0,2.3,0.038,0.3,14.2,0.068,71.9,71.3,0.07,0.2
milkfish cooked,54,2.4,0.0,0.0,0.0,0.0,0.0,7.4,0.0,19.0,0.076,17.7,0.027,0.069,0.08,0.061,0.058,2.3,0.2,0.1,0.0,0.0,0.0,0.0,18.4,0.05,0.1,10.8,0.003,58.9,105.8,0.065,0.3
carp raw,277,12.2,2.4,5.1,3.1,0.0,0.0,38.9,0.0,143.9,0.1,166.4,0.042,0.3,0.094,0.087,0.1,3.6,1.6,0.4,3.5,0.042,1.4,0.016,89.4,0.1,2.7,63.2,0.065,904.7,725.9,0.037,3.2
sturgeon raw,30,1.1,0.3,0.5,0.2,0.0,0.0,4.6,0.0,17.0,0.007,21.7,0.016,0.058,0.039,0.039,0.082,2.3,0.2,0.013,0.0,0.008,0.1,0.03,3.7,0.01,0.2,9.9,0.035,59.7,80.4,0.077,0.1
orange roughy raw,22,0.2,0.057,0.051,0.086,0.0,0.0,4.6,0.0,17.0,0.063,21.4,0.082,0.086,0.073,0.078,0.005,0.4,0.082,0.038,0.0,0.0,0.3,0.063,2.5,0.015,0.3,4.8,0.091,30.3,47.3,0.042,0.039
catfish fried,199,11.6,2.9,4.9,2.9,7.0,0.0,15.7,0.6,61.8,0.2,51.2,0.0,0.04,0.015,0.054,0.1,2.0,0.6,0.2,0.0,0.0,0.0,0.0,38.3,0.01,1.2,23.5,0.05,187.9,295.8,0.098,0.7
cuttlefish raw,22,0.2,0.002,0.088,0.069,0.2,0.0,4.6,0.0,31.7,0.1,22.8,0.048,0.025,0.093,0.01,0.3,0.3,0.1,0.079,1.5,0.0,0.0,0.0,25.5,0.2,1.7,8.5,0.092,109.5,100.2,0.083,0.5
bass raw,90,2.9,0.6,1.1,0.8,0.0,0.0,14.9,0.0,53.7,0.055,59.8,0.004,0.091,0.046,0.003,0.046,1.0,0.6,0.052,1.6,0.0,0.0,0.0,63.2,0.093,1.2,23.7,0.7,158.0,281.2,0.057,0.5
flounder cooked,109,3.0,0.7,0.8,0.6,0.0,0.0,19.4,0.0,71.1,0.5,103.0,0.047,0.067,0.094,0.014,0.018,0.002,1.6,0.3,0.1,0.0,0.005,1.0,0.1,31.8,0.099,0.3,27.9,0.077,392.4,250.2,0.049
milkfish raw,42,1.9,0.5,0.7,0.5,0.0,0.0,5.8,0.0,14.7,0.098,20.1,0.099,0.091,0.09,0.012,0.027,1.8,0.2,0.1,0.0,0.0,0.0,0.0,14.4,0.021,0.057,8.5,0.088,45.8,82.6,0.042,0.2
eel raw,375,23.8,4.8,14.7,1.9,0.0,0.0,37.6,0.0,257.0,0.1,139.3,2.1,0.3,0.049,0.061,0.002,7.1,0.5,0.1,3.7,0.01,8.2,0.0,40.8,0.069,1.0,40.8,0.038,440.6,554.9,0.011,3.3
catfish raw,189,9.4,2.1,4.1,1.8,0.0,0.0,24.2,0.0,87.5,0.2,125.7,0.0,0.022,0.083,0.003,0.1,3.3,1.1,0.2,0.0,0.084,1.3,0.022,12.7,0.003,0.4,30.2,0.073,324.4,480.2,0.056,0.8
fish sticks,78,4.5,1.0,0.9,2.2,6.1,0.5,3.1,0.4,7.8,0.1,13.9,0.055,0.006,0.037,0.039,0.3,0.082,0.4,0.0,0.038,0.0,0.0,1.9,0.089,4.5,0.3,0.2,7.0,0.0,53.5,51.8,0.072
coho salmon raw,254,12.2,2.9,5.3,3.0,0.0,0.0,33.8,0.0,81.1,0.054,112.0,0.012,0.1,0.076,0.095,0.2,10.8,1.8,1.0,1.7,0.0,0.0,0.0,19.1,0.022,0.5,49.3,0.023,464.3,715.5,0.028,0.7
monkfish cooked,27,0.6,0.0,0.0,0.0,0.0,0.0,5.3,0.0,9.1,0.004,22.2,0.006,0.014,0.011,0.024,0.045,0.7,0.01,0.039,0.3,0.0,0.0,0.0,2.8,0.033,0.1,7.6,0.082,72.4,145.2,0.036,0.1
yellowtail cooked,546,19.6,0.0,0.0,0.0,0.0,0.0,86.6,0.0,207.3,0.1,196.6,0.045,0.5,0.085,0.034,0.1,25.5,2.0,0.5,8.5,0.0,0.0,0.0,84.7,0.2,1.8,111.0,0.095,586.9,1571.0,0.1,2.0
yellowfin tuna cooked,37,0.2,0.054,0.095,0.038,0.0,0.0,8.2,0.0,13.3,0.011,19.5,0.098,0.065,0.019,0.059,0.093,6.2,0.021,0.3,0.0,0.009,0.042,0.023,1.1,0.001,0.3,11.9,0.014,94.2,149.1,0.003,0.1
ling cooked,168,1.2,0.0,0.0,0.0,0.0,0.0,36.8,0.0,77.0,0.3,111.6,0.025,0.2,0.009,0.06,0.3,4.2,0.6,0.5,0.0,0.0,0.0,0.0,66.4,0.2,1.3,122.3,0.035,383.5,733.9,0.079,1.5
eel cooked,67,4.2,0.9,2.6,0.3,0.0,0.0,6.7,0.0,45.6,0.069,16.8,0.3,0.008,0.074,0.058,0.066,1.3,0.067,0.031,0.5,0.0,0.0,0.0,7.4,0.075,0.2,7.4,0.058,78.4,98.8,0.01,0.6
sablefish raw,753,59.1,12.4,31.1,7.9,0.0,0.0,51.8,0.0,189.1,0.2,274.1,0.4,0.4,0.094,0.1,0.3,15.4,2.9,1.2,0.0,0.0,0.0,0.0,135.1,0.037,4.9,212.3,0.077,648.5,1381.9,0.1,1.2
salmon nuggets,60,3.3,0.4,1.3,0.9,4.0,0.0,3.6,0.0,7.4,0.005,17.1,0.0,0.018,0.076,0.086,0.059,1.3,0.1,0.046,0.0,0.0,0.0,0.0,2.3,0.039,0.4,5.7,0.06,49.8,46.7,0.0,0.1
yellowtail raw,546,19.6,4.8,7.4,5.3,0.0,0.0,86.5,0.0,205.7,0.1,278.7,0.1,0.5,0.08,0.072,0.1,25.4,2.2,0.6,10.5,0.0,0.0,0.071,86.0,0.2,1.8,112.2,0.002,587.2,1570.8,0.1,1.9
butterfish cooked,47,2.6,0.0,0.0,0.0,0.0,0.0,5.5,0.0,20.8,0.042,16.7,0.029,0.055,0.092,0.057,0.016,1.4,0.2,0.041,0.0,0.0,0.0,0.0,7.0,0.028,0.2,8.0,0.095,77.0,120.3,0.02,0.2
caviar,42,2.9,0.6,0.7,1.2,0.6,0.0,3.9,0.0,94.1,0.2,7.6,0.054,0.037,0.038,0.083,0.003,0.051,0.6,0.005,0.0,0.0,0.3,0.065,44.0,0.086,1.9,48.0,0.068,57.0,29.0,0.098,0.2
